# Region type :   patch inlet
# Faces           : 120
# Area            : 5.0000000000e-03
# Scale factor    : 1.0000000000e+00
# Time            	sum(myPhi)
0.145301          	-4.6831945811e-02
0.145969          	-4.6401642576e-02
0.146671          	-4.6800886309e-02
0.147277          	-4.5572430184e-02
0.147855          	-4.5220206467e-02
0.148341          	-4.4030719873e-02
0.148896          	-4.4926587170e-02
0.149513          	-4.5698554721e-02
0.150096          	-4.5250813333e-02
0.150678          	-4.5247140736e-02
0.151261          	-4.5241529310e-02
0.151933          	-4.6360211348e-02
0.152471          	-4.4650351653e-02
0.15305           	-4.5182814931e-02
0.153629          	-4.5176573117e-02
0.154054          	-4.3200791196e-02
0.154549          	-4.4126190089e-02
0.155094          	-4.4758339977e-02
0.15554           	-4.3485741865e-02
0.156036          	-4.4134926655e-02
0.156602          	-4.5039524247e-02
0.157282          	-4.6456773466e-02
0.157825          	-4.4730576126e-02
0.158369          	-4.4741923377e-02
0.158913          	-4.4744309076e-02
0.159456          	-4.4747248290e-02
0.16              	-4.4750747029e-02
0.160541          	-4.4714809786e-02
0.161081          	-4.4719107483e-02
0.161691          	-4.5608269151e-02
0.162173          	-4.3966401716e-02
0.162713          	-4.4730960445e-02
0.163331          	-4.5712477242e-02
0.163998          	-4.6325398813e-02
0.16476           	-4.7495043702e-02
0.165324          	-4.5009279128e-02
0.165962          	-4.5958351159e-02
0.166524          	-4.4985817440e-02
0.167165          	-4.6010957874e-02
0.167878          	-4.6892006352e-02
0.168516          	-4.5943784641e-02
0.169038          	-4.4483617177e-02
0.169615          	-4.5200568900e-02
0.170264          	-4.6112748204e-02
0.170873          	-4.5597099809e-02
0.17141           	-4.4694269400e-02
0.171819          	-4.3050276760e-02
0.172273          	-4.3660582771e-02
0.172788          	-4.4455718628e-02
0.173389          	-4.5562641656e-02
0.17405           	-4.6320773848e-02
0.174794          	-4.7346535750e-02
0.175267          	-4.3901782613e-02
0.175793          	-4.4608189160e-02
0.176394          	-4.5577842518e-02
